date,category,weight_pct,mom_change_pct,yoy_change_pct
2024-01-01,Clothing and Footwear,2.9914,0.6,3.5
2024-01-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,1.6,9.7
2024-01-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.7,4.0
2024-01-01,Health,2.9116,0.1,2.4
2024-01-01,Transport,9.6468,-0.9,10.6
2024-01-01,Information and Communication,7.784,0.2,1.3
2024-01-01,"Recreation, Sport and Culture",1.7219,1.3,5.4
2024-01-01,Education Services,5.562,1.8,2.8
2024-01-01,Restaurants and Accommodation Services,8.0991,0.6,4.3
2024-01-01,Insurance and Financial Services,2.2423,0.3,1.0
2024-01-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.3,6.1
2024-02-01,Food and Non-Alcoholic Beverages,32.9094,0.3,6.9
2024-02-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,1.1,8.7
2024-02-01,Clothing and Footwear,2.9914,0.1,3.5
2024-02-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.8,8.4
2024-02-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.3,4.0
2024-02-01,Health,2.9116,0.3,2.6
2024-02-01,Transport,9.6468,0.2,10.8
2024-02-01,Information and Communication,7.784,0.1,1.3
2024-02-01,"Recreation, Sport and Culture",1.7219,0.3,5.0
2024-02-01,Education Services,5.562,0.0,2.4
2024-02-01,Restaurants and Accommodation Services,8.0991,0.3,4.3
2024-02-01,Insurance and Financial Services,2.2423,0.0,1.0
2024-02-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.6,6.1
2024-03-01,Food and Non-Alcoholic Beverages,32.9094,0.5,5.8
2024-03-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.4,8.5
2024-03-01,Clothing and Footwear,2.9914,0.2,3.7
2024-03-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.2,8.0
2024-03-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.4,4.3
2024-03-01,Health,2.9116,0.3,2.6
2024-03-01,Transport,9.6468,-0.6,9.7
2024-03-01,Information and Communication,7.784,0.0,1.3
2024-03-01,"Recreation, Sport and Culture",1.7219,0.1,4.8
2024-03-01,Education Services,5.562,0.0,2.3
2024-03-01,Restaurants and Accommodation Services,8.0991,0.3,4.5
2024-03-01,Insurance and Financial Services,2.2423,0.0,0.9
2024-03-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.3,6.1
2024-04-01,Food and Non-Alcoholic Beverages,32.9094,-0.1,5.6
2024-04-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.2,8.3
2024-04-01,Clothing and Footwear,2.9914,0.2,3.7
2024-04-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-1.3,3.8
2024-04-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.1,4.4
2024-04-01,Health,2.9116,0.1,2.7
2024-04-01,Transport,9.6468,-0.3,9.2
2024-04-01,Information and Communication,7.784,0.1,1.3
2024-04-01,"Recreation, Sport and Culture",1.7219,0.2,4.8
2024-04-01,Education Services,5.562,0.0,2.3
2024-04-01,Restaurants and Accommodation Services,8.0991,0.2,4.3
2024-04-01,Insurance and Financial Services,2.2423,0.0,0.9
2024-04-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,6.0
2024-05-01,Food and Non-Alcoholic Beverages,32.9094,2.0,6.2
2024-05-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.6,8.0
2024-05-01,Clothing and Footwear,2.9914,0.3,3.8
2024-05-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,1.2,4.4
2024-05-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,4.1
2024-05-01,Health,2.9116,0.1,2.6
2024-05-01,Transport,9.6468,0.2,8.1
2024-05-01,Information and Communication,7.784,0.1,1.3
2024-05-01,"Recreation, Sport and Culture",1.7219,0.3,4.8
2024-05-01,Education Services,5.562,0.0,2.3
2024-05-01,Restaurants and Accommodation Services,8.0991,0.4,4.2
2024-05-01,Insurance and Financial Services,2.2423,0.1,1.0
2024-05-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.3,5.2
2024-06-01,Food and Non-Alcoholic Beverages,32.9094,0.7,5.6
2024-06-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.5,7.7
2024-06-01,Clothing and Footwear,2.9914,0.2,3.8
2024-06-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.4,3.1
2024-06-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.4,4.1
2024-06-01,Health,2.9116,0.2,2.4
2024-06-01,Transport,9.6468,-0.2,7.7
2024-06-01,Information and Communication,7.784,0.1,1.3
2024-06-01,"Recreation, Sport and Culture",1.7219,0.4,4.9
