date,category,weight_pct,mom_change_pct,yoy_change_pct
2026-02-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.4,1.8
2026-02-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.1,1.4
2026-02-01,Health,2.9116,0.3,2.4
2026-02-01,Transport,9.6468,-0.7,4.0
2026-02-01,Information and Communication,7.784,0.0,0.4
2026-02-01,"Recreation, Sport and Culture",1.7219,0.2,2.6
2026-02-01,Education Services,5.562,0.4,3.0
2026-02-01,Restaurants and Accommodation Services,8.0991,0.5,2.7
2026-02-01,Insurance and Financial Services,2.2423,0.1,0.7
2026-02-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,2.5
2026-03-01,Food and Non-Alcoholic Beverages,32.9094,1.1,7.7
2026-03-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.1,2.3
2026-03-01,Clothing and Footwear,2.9914,0.0,1.8
2026-03-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.4,2.0
2026-03-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.3,1.5
2026-03-01,Health,2.9116,0.4,2.7
2026-03-01,Transport,9.6468,0.0,3.8
2026-03-01,Information and Communication,7.784,0.1,0.5
2026-03-01,"Recreation, Sport and Culture",1.7219,0.1,2.6
2026-03-01,Education Services,5.562,0.3,3.3
2026-03-01,Restaurants and Accommodation Services,8.0991,0.1,2.4
2026-03-01,Insurance and Financial Services,2.2423,0.0,0.7
2026-03-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,2.5
2026-04-01,Food and Non-Alcoholic Beverages,32.9094,1.5,8.8
2026-04-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.2,2.3
2026-04-01,Clothing and Footwear,2.9914,0.1,1.9
2026-04-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.8,2.4
2026-04-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.4,1.7
2026-04-01,Health,2.9116,0.1,2.6
2026-04-01,Transport,9.6468,6.5,10.0
2026-04-01,Information and Communication,7.784,0.1,0.6
2026-04-01,"Recreation, Sport and Culture",1.7219,0.4,2.7
2026-04-01,Education Services,5.562,0.0,3.2
2026-04-01,Restaurants and Accommodation Services,8.0991,0.4,2.5
2026-04-01,Insurance and Financial Services,2.2423,0.1,0.8
2026-04-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.3,2.7
2026-05-01,Food and Non-Alcoholic Beverages,32.9094,1.8,9.4
2026-05-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.2,2.5
2026-05-01,Clothing and Footwear,2.9914,0.2,2.0
2026-05-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.9,3.4
2026-05-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.3,1.9
2026-05-01,Health,2.9116,0.2,2.6
2026-05-01,Transport,9.6468,6.1,16.5
2026-05-01,Information and Communication,7.784,0.0,0.6
2026-05-01,"Recreation, Sport and Culture",1.7219,0.1,2.5
2026-05-01,Education Services,5.562,0.0,3.1
2026-05-01,Restaurants and Accommodation Services,8.0991,0.2,2.6
2026-05-01,Insurance and Financial Services,2.2423,0.0,0.8
2026-05-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.3,2.5
2026-06-01,Food and Non-Alcoholic Beverages,32.9094,0.3,8.6
2026-06-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.3,2.6
2026-06-01,Clothing and Footwear,2.9914,0.1,2.0
2026-06-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.1,3.4
2026-06-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.5,2.2
2026-06-01,Health,2.9116,0.4,2.8
2026-06-01,Transport,9.6468,0.3,16.1
2026-06-01,Information and Communication,7.784,0.0,0.6
2026-06-01,"Recreation, Sport and Culture",1.7219,0.2,2.5
2026-06-01,Education Services,5.562,0.0,3.1
2026-06-01,Restaurants and Accommodation Services,8.0991,0.2,2.7
2026-06-01,Insurance and Financial Services,2.2423,0.0,0.8
2026-06-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.3,2.7
2026-07-01,Food and Non-Alcoholic Beverages,32.9094,0.1,9.0
2026-07-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.4,2.6
2026-07-01,Clothing and Footwear,2.9914,0.2,2.2
2026-07-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.5,3.2
2026-07-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.4,2.4
2026-07-01,Health,2.9116,0.2,2.8
2026-07-01,Transport,9.6468,0.3,15.6
2026-07-01,Information and Communication,7.784,0.0,0.6
2026-07-01,"Recreation, Sport and Culture",1.7219,0.2,2.5
2026-07-01,Education Services,5.562,0.0,3.1
2026-07-01,Restaurants and Accommodation Services,8.0991,0.2,2.9
2026-07-01,Insurance and Financial Services,2.2423,0.1,0.8
2026-07-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,2.4
2026-08-01,Food and Non-Alcoholic Beverages,32.9094,0.6,9.0
2026-08-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.1,2.6
2026-08-01,Clothing and Footwear,2.9914,0.1,2.2
2026-08-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.1,3.6
2026-08-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.3,2.9
2026-08-01,Health,2.9116,0.1,2.8
2026-08-01,Transport,9.6468,0.7,15.7
2026-08-01,Information and Communication,7.784,0.4,0.8
2026-08-01,"Recreation, Sport and Culture",1.7219,1.0,3.6
2026-08-01,Education Services,5.562,0.0,2.9
2026-08-01,Restaurants and Accommodation Services,8.0991,0.2,3.0
2026-08-01,Insurance and Financial Services,2.2423,0.4,1.2
2026-08-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,2.4
